SMILES,ID,UMAP1,UMAP2
Brc1csc(NCc2ccnnc2)n1,pyridine2pyridazine_0000000001,13.287749,-8.62682
Brc1csc(NCc2cccnn2)n1,pyridine2pyridazine_0000000002,13.287794,-8.626924
Brc1csc(NCc2ccnnc2)n1,pyridine2pyridazine_0000000003,13.287914,-8.626873
Brc1csc(NCc2ccnnc2)n1,pyridine2pyridazine_0000000004,13.288021,-8.626903
Brc1csc(NCc2cccnn2)n1,pyridine2pyridazine_0000000005,13.28796,-8.626842
c1ccnnc1,pyridine2pyridazine_0000000006,12.69153,4.4168525
Brc1ccnnc1,pyridine2pyridazine_0000000007,-9.226263,-16.315144
Brc1ccc(CNc2nccs2)nn1,pyridine2pyridazine_0000000008,12.914005,8.365975
CN(Cc1cc(Br)cnn1)S(C)(=O)=O,pyridine2pyridazine_0000000009,0.7887179,14.681908
CN(Cc1cnnc(Br)c1)S(C)(=O)=O,pyridine2pyridazine_0000000010,0.7921414,14.678579
CCS(=O)(=O)NCc1cc(Br)cnn1,pyridine2pyridazine_0000000011,0.76688963,14.703727
CCS(=O)(=O)NCc1cnnc(Br)c1,pyridine2pyridazine_0000000012,0.796566,14.674174
Fc1cc(Br)cnn1,pyridine2pyridazine_0000000013,22.485037,-13.762643
O=C(O)CCSc1nnc(Br)cc1F,pyridine2pyridazine_0000000014,18.436615,-0.12049413
Fc1cc(Br)cnn1,pyridine2pyridazine_0000000015,22.495855,-13.751845
CC(Sc1nnc(Br)cc1F)C(=O)O,pyridine2pyridazine_0000000016,18.439705,-0.12344746
O=C(O)CCSc1ccc(Br)nn1,pyridine2pyridazine_0000000017,18.405193,-0.25009182
Cc1nnccc1Br,pyridine2pyridazine_0000000018,-10.751458,20.32225
Fc1cc(Br)cnn1,pyridine2pyridazine_0000000019,22.501406,-13.746485
COC(=O)CSc1nnc(Br)cc1F,pyridine2pyridazine_0000000020,13.758551,-0.36033452
CSCCN(C)c1ccc(Br)nn1,pyridine2pyridazine_0000000021,12.829695,-3.0402217
Cc1nnccc1Br,pyridine2pyridazine_0000000022,-10.7419615,20.315935
Fc1cc(Br)cnn1,pyridine2pyridazine_0000000023,22.49191,-13.75567
CSCCN(C)c1nnc(Br)cc1F,pyridine2pyridazine_0000000024,12.908283,-2.8555243
Fc1cc(Br)nnc1NCC(F)(F)F,pyridine2pyridazine_0000000025,12.139401,13.658267
Fc1cc(Br)cnn1,pyridine2pyridazine_0000000026,22.4911,-13.756599
Fc1cc(Br)nnc1NC1CCSC1,pyridine2pyridazine_0000000027,13.325692,-2.6048918
Fc1cc(Br)cnn1,pyridine2pyridazine_0000000028,22.477695,-13.7698555
Fc1cc(Br)cnn1,pyridine2pyridazine_0000000029,22.471891,-13.775828
CC(O)C(C)Sc1nnc(Br)cc1F,pyridine2pyridazine_0000000030,12.783696,-2.776532
Fc1cc(Br)cnn1,pyridine2pyridazine_0000000031,22.479992,-13.767737
CN(C)CCSc1nnc(Br)cc1F,pyridine2pyridazine_0000000032,12.829285,-2.722286
Fc1cc(Br)cnn1,pyridine2pyridazine_0000000033,22.489643,-13.758105
OCC(O)CSc1nnc(Br)cc1F,pyridine2pyridazine_0000000034,12.760502,-2.8265197
Fc1cc(Br)cnn1,pyridine2pyridazine_0000000035,22.505005,-13.742779
CC(CCO)Sc1nnc(Br)cc1F,pyridine2pyridazine_0000000036,12.774901,-2.7808828
CS(=O)CCNc1ccc(Br)nn1,pyridine2pyridazine_0000000037,14.4848385,-3.900775
Cc1nnccc1Br,pyridine2pyridazine_0000000038,-10.727333,20.301037
Fc1cc(Br)cnn1,pyridine2pyridazine_0000000039,22.488014,-13.759826
CS(=O)CCNc1nnc(Br)cc1F,pyridine2pyridazine_0000000040,14.549341,-3.8216767
CC(O)C(C)SCc1cc(Br)cnn1,pyridine2pyridazine_0000000041,12.752067,-3.2016659
CC(O)C(C)SCc1cnnc(Br)c1,pyridine2pyridazine_0000000042,12.765621,-3.1693633
CC(O)C(C)SCc1ccc(Br)nn1,pyridine2pyridazine_0000000043,12.743565,-3.1310747
Brc1ccnnc1,pyridine2pyridazine_0000000044,-9.181923,-16.32418
Brc1ccnnc1,pyridine2pyridazine_0000000045,-9.175639,-16.317495
Brc1ccc(CSc2ncc[nH]2)nn1,pyridine2pyridazine_0000000046,9.739654,-8.366817
Brc1cc(CSc2ncc[nH]2)cnn1,pyridine2pyridazine_0000000047,9.733417,-8.360375
Brc1cnnc(CSc2ncc[nH]2)c1,pyridine2pyridazine_0000000048,9.707808,-8.338647
CSCCC(=O)Nc1cc(Br)cnn1,pyridine2pyridazine_0000000049,12.993705,-2.3001728
Brc1ccnnc1,pyridine2pyridazine_0000000050,-9.174752,-16.309229
Brc1ccnnc1,pyridine2pyridazine_0000000051,-9.106694,-16.34042
